wd17cd,wd17nm,lad17cd,lad17nm,fid
E05000850,Hindley Green,E08000010,Wigan,6001
E05000851,Ince,E08000010,Wigan,6002
E05000852,Leigh East,E08000010,Wigan,6003
E05000853,Leigh South,E08000010,Wigan,6004
E05000854,Leigh West,E08000010,Wigan,6005
E05000855,Lowton East,E08000010,Wigan,6006
E05000856,Orrell,E08000010,Wigan,6007
E05000857,Pemberton,E08000010,Wigan,6008
E05000858,Shevington with Lower Ground,E08000010,Wigan,6009
E05000859,Standish with Langtree,E08000010,Wigan,6010
E05000860,Tyldesley,E08000010,Wigan,6011
E05000861,Wigan Central,E08000010,Wigan,6012
E05000862,Wigan West,E08000010,Wigan,6013
E05000863,Winstanley,E08000010,Wigan,6014
E05000864,Worsley Mesnes,E08000010,Wigan,6015
E05000700,Didsbury West,E08000003,Manchester,6051
E05000701,Fallowfield,E08000003,Manchester,6052
E05000702,Gorton North,E08000003,Manchester,6053
E05000703,Gorton South,E08000003,Manchester,6054
E05000704,Harpurhey,E08000003,Manchester,6055
E05000705,Higher Blackley,E08000003,Manchester,6056
E05000706,Hulme,E08000003,Manchester,6057
E05000707,Levenshulme,E08000003,Manchester,6058
E05000708,Longsight,E08000003,Manchester,6059
E05000709,Miles Platting and Newton Heath,E08000003,Manchester,6060
E05000710,Moss Side,E08000003,Manchester,6061
E05000711,Moston,E08000003,Manchester,6062
E05000712,Northenden,E08000003,Manchester,6063
E05000713,Old Moat,E08000003,Manchester,6064
E05000714,Rusholme,E08000003,Manchester,6065
E05000715,Sharston,E08000003,Manchester,6066
E05000716,Whalley Range,E08000003,Manchester,6067
E05000717,Withington,E08000003,Manchester,6068
E05000718,Woodhouse Park,E08000003,Manchester,6069
E05000719,Alexandra,E08000004,Oldham,6070
E05000720,Chadderton Central,E08000004,Oldham,6071
E05000721,Chadderton North,E08000004,Oldham,6072
E05000722,Chadderton South,E08000004,Oldham,6073
E05000723,Coldhurst,E08000004,Oldham,6074
E05000724,Crompton,E08000004,Oldham,6075
E05000725,Failsworth East,E08000004,Oldham,6076
E05000726,Failsworth West,E08000004,Oldham,6077
E05000727,Hollinwood,E08000004,Oldham,6078
E05000728,Medlock Vale,E08000004,Oldham,6079
E05000729,Royton North,E08000004,Oldham,6080
E05000730,Royton South,E08000004,Oldham,6081
E05000731,Saddleworth North,E08000004,Oldham,6082
E05000732,Saddleworth South,E08000004,Oldham,6083
E05000733,Saddleworth West and Lees,E08000004,Oldham,6084
E05000734,St James',E08000004,Oldham,6085
E05000735,St Mary's,E08000004,Oldham,6086
E05000736,Shaw,E08000004,Oldham,6087
E05000737,Waterhead,E08000004,Oldham,6088
E05000738,Werneth,E08000004,Oldham,6089
E05000739,Balderstone and Kirkholt,E08000005,Rochdale,6090
E05000740,Bamford,E08000005,Rochdale,6091
E05000741,Castleton,E08000005,Rochdale,6092
E05000742,Central Rochdale,E08000005,Rochdale,6093
E05000743,East Middleton,E08000005,Rochdale,6094
E05000744,Healey,E08000005,Rochdale,6095
E05000745,Hopwood Hall,E08000005,Rochdale,6096
E05000746,Kingsway,E08000005,Rochdale,6097
E05000747,Littleborough Lakeside,E08000005,Rochdale,6101
E05000748,Milkstone and Deeplish,E08000005,Rochdale,6102
E05000749,Milnrow and Newhey,E08000005,Rochdale,6103
E05000750,Norden,E08000005,Rochdale,6104
E05000800,Ashton Hurst,E08000008,Tameside,6105
E05000650,Astley Bridge,E08000001,Bolton,6106
E05000651,Bradshaw,E08000001,Bolton,6107
E05000801,Ashton St Michael's,E08000008,Tameside,6110
E05000652,Breightmet,E08000001,Bolton,6112
E05000802,Ashton Waterloo,E08000008,Tameside,6115
E05000751,North Heywood,E08000005,Rochdale,6117
E05000653,Bromley Cross,E08000001,Bolton,6118
E05000803,Audenshaw,E08000008,Tameside,6121
E05000752,North Middleton,E08000005,Rochdale,6123
E05000654,Crompton,E08000001,Bolton,6124
E05000804,Denton North East,E08000008,Tameside,6127
E05000753,Smallbridge and Firgrove,E08000005,Rochdale,6129
E05000754,South Middleton,E08000005,Rochdale,6130
E05000755,Spotland and Falinge,E08000005,Rochdale,6131
E05000756,Wardle and West Littleborough,E08000005,Rochdale,6132
E05000757,West Heywood,E08000005,Rochdale,6133
E05000758,West Middleton,E08000005,Rochdale,6134
E05000759,Barton,E08000006,Salford,6135
E05000760,Boothstown and Ellenbrook,E08000006,Salford,6136
E05000761,Broughton,E08000006,Salford,6137
E05000762,Cadishead,E08000006,Salford,6138
E05000763,Claremont,E08000006,Salford,6139
E05000764,Eccles,E08000006,Salford,6140
E05000765,Irlam,E08000006,Salford,6141
E05000766,Irwell Riverside,E08000006,Salford,6142
E05000767,Kersal,E08000006,Salford,6143
E05000768,Langworthy,E08000006,Salford,6144
E05000769,Little Hulton,E08000006,Salford,6145
E05000770,Ordsall,E08000006,Salford,6146
E05000771,Pendlebury,E08000006,Salford,6147
E05000772,Swinton North,E08000006,Salford,6148
E05000773,Swinton South,E08000006,Salford,6149
E05000774,Walkden North,E08000006,Salford,6150
E05000775,Walkden South,E08000006,Salford,6151
E05000776,Weaste and Seedley,E08000006,Salford,6152
E05000777,Winton,E08000006,Salford,6153
E05000778,Worsley,E08000006,Salford,6154
E05000779,Bramhall North,E08000007,Stockport,6155
E05000780,Bramhall South and Woodford,E08000007,Stockport,6156
E05000781,Bredbury and Woodley,E08000007,Stockport,6157
E05000782,Bredbury Green and Romiley,E08000007,Stockport,6158
E05000783,Brinnington and Central,E08000007,Stockport,6159
E05000784,Cheadle and Gatley,E08000007,Stockport,6160
E05000785,Cheadle Hulme North,E08000007,Stockport,6161
E05000786,Cheadle Hulme South,E08000007,Stockport,6162
E05000787,Davenport and Cale Green,E08000007,Stockport,6163
E05000788,Edgeley and Cheadle Heath,E08000007,Stockport,6164
E05000789,Hazel Grove,E08000007,Stockport,6165
E05000790,Heald Green,E08000007,Stockport,6166
E05000791,Heatons North,E08000007,Stockport,6167
E05000792,Heatons South,E08000007,Stockport,6168
E05000793,Manor,E08000007,Stockport,6169
E05000794,Marple North,E08000007,Stockport,6170
E05000795,Marple South and High Lane,E08000007,Stockport,6171
E05000796,Offerton,E08000007,Stockport,6172
E05000797,Reddish North,E08000007,Stockport,6173
E05000798,Reddish South,E08000007,Stockport,6174
E05000799,Stepping Hill,E08000007,Stockport,6175
E05000655,Farnworth,E08000001,Bolton,6176
E05000656,Great Lever,E08000001,Bolton,6178
E05000805,Denton South,E08000008,Tameside,6182
E05000657,Halliwell,E08000001,Bolton,6183
E05000806,Denton West,E08000008,Tameside,6187
E05000658,Harper Green,E08000001,Bolton,6188
E05000807,Droylsden East,E08000008,Tameside,6192
E05000659,Heaton and Lostock,E08000001,Bolton,6193
E05000808,Droylsden West,E08000008,Tameside,6278
E05000660,Horwich and Blackrod,E08000001,Bolton,6279
E05000809,Dukinfield,E08000008,Tameside,6282
E05000810,Dukinfield Stalybridge,E08000008,Tameside,6284
E05000811,Hyde Godley,E08000008,Tameside,6286
E05000812,Hyde Newton,E08000008,Tameside,6288
E05000813,Hyde Werneth,E08000008,Tameside,6290
E05000814,Longdendale,E08000008,Tameside,6292
E05000815,Mossley,E08000008,Tameside,6294
E05000816,St Peter's,E08000008,Tameside,6296
E05000817,Stalybridge North,E08000008,Tameside,6298
E05000818,Stalybridge South,E08000008,Tameside,6300
E05000819,Altrincham,E08000009,Trafford,6302
E05000820,Ashton upon Mersey,E08000009,Trafford,6304
E05000821,Bowdon,E08000009,Trafford,6306
E05000822,Broadheath,E08000009,Trafford,6308
E05000823,Brooklands,E08000009,Trafford,6310
E05000824,Bucklow-St Martins,E08000009,Trafford,6312
E05000825,Clifford,E08000009,Trafford,6314
E05000826,Davyhulme East,E08000009,Trafford,6316
E05000827,Davyhulme West,E08000009,Trafford,6318
E05000828,Flixton,E08000009,Trafford,6320
E05000829,Gorse Hill,E08000009,Trafford,6322
E05000830,Hale Barns,E08000009,Trafford,6324
E05000831,Hale Central,E08000009,Trafford,6326
E05000832,Longford,E08000009,Trafford,6328
E05000833,Priory,E08000009,Trafford,6330
E05000834,St Mary's,E08000009,Trafford,6332
E05000835,Sale Moor,E08000009,Trafford,6334
E05000836,Stretford,E08000009,Trafford,6336
E05000837,Timperley,E08000009,Trafford,6338
E05000838,Urmston,E08000009,Trafford,6350
E05000839,Village,E08000009,Trafford,6351
E05000840,Abram,E08000010,Wigan,6352
E05000841,Ashton,E08000010,Wigan,6353
E05000842,Aspull New Springs Whelley,E08000010,Wigan,6354
E05000843,Astley Mosley Common,E08000010,Wigan,6355
E05000844,Atherleigh,E08000010,Wigan,6356
E05000845,Atherton,E08000010,Wigan,6357
E05000846,Bryn,E08000010,Wigan,6358
E05000847,Douglas,E08000010,Wigan,6359
E05000848,Golborne and Lowton West,E08000010,Wigan,6360
E05000849,Hindley,E08000010,Wigan,6361
E05000661,Horwich North East,E08000001,Bolton,6362
E05000662,Hulton,E08000001,Bolton,6363
E05000663,Kearsley,E08000001,Bolton,6364
E05000664,Little Lever and Darcy Lever,E08000001,Bolton,6365
E05000665,Rumworth,E08000001,Bolton,6366
E05000666,Smithills,E08000001,Bolton,6367
E05000667,Tonge with the Haulgh,E08000001,Bolton,6368
E05000668,Westhoughton North and Chew Moor,E08000001,Bolton,6369
E05000669,Westhoughton South,E08000001,Bolton,6370
E05000670,Besses,E08000002,Bury,6371
E05000671,Church,E08000002,Bury,6372
E05000672,East,E08000002,Bury,6373
E05000673,Elton,E08000002,Bury,6374
E05000674,Holyrood,E08000002,Bury,6375
E05000675,Moorside,E08000002,Bury,6376
E05000676,North Manor,E08000002,Bury,6377
E05000677,Pilkington Park,E08000002,Bury,6378
E05000678,Radcliffe East,E08000002,Bury,6379
E05000679,Radcliffe North,E08000002,Bury,6380
E05000680,Radcliffe West,E08000002,Bury,6381
E05000681,Ramsbottom,E08000002,Bury,6382
E05000682,Redvales,E08000002,Bury,6383
E05000683,St Mary's,E08000002,Bury,6384
E05000684,Sedgley,E08000002,Bury,6385
E05000685,Tottington,E08000002,Bury,6386
E05000686,Unsworth,E08000002,Bury,6387
E05000687,Ancoats and Clayton,E08000003,Manchester,6388
E05000688,Ardwick,E08000003,Manchester,6389
E05000689,Baguley,E08000003,Manchester,6390
E05000690,Bradford,E08000003,Manchester,6391
E05000691,Brooklands,E08000003,Manchester,6392
E05000692,Burnage,E08000003,Manchester,6393
E05000693,Charlestown,E08000003,Manchester,6394
E05000694,Cheetham,E08000003,Manchester,6395
E05000695,Chorlton,E08000003,Manchester,6396
E05000696,Chorlton Park,E08000003,Manchester,6397
E05000697,City Centre,E08000003,Manchester,6398
E05000698,Crumpsall,E08000003,Manchester,6399
E05000699,Didsbury East,E08000003,Manchester,6400
